text,output,timestamp
49th BCS exam batch is set to start on September 5. Visit uttoron.academy to book your seat.,"Prediction: Not a spam
Confidence: 1.00",2025-09-02 01:48:57.105617
Your project submission date is scheduled for Saturday at 10 am. ensure your presence 15 minutes ahead.,"Prediction: Spam
Confidence: 1.00",2025-09-02 01:50:22.597003
